id,modelId,description,category,synsetId,subSynsetId
52241,a16b8de490656d03713decb1a0563b12,A red chair with no arms and a straight back.,Chair,3001627,3001627
63858,250ffcc789426a255f46d55537192b6,Grey Coloured Squared Base Chair With Green Cushion,Chair,3001627,4331277
43916,55d147c5125f5043e1ddfae8bbce5fe6,long-legged chair of antique pink fabric,Chair,3001627,4331277
67269,d0500d229baf05b0e83221ad0d21775,A bench type chair that has a cushion on the seat and back.  It is light brown and wooden.,Chair,3001627,2738535
78144,951fb0d7ad8ab2bec5b5bea66ef4576d,A wooden bar stool with a green pad and no arm rests.,Chair,3001627,3001627
52334,313bfbd7bc2d516e14d782de5388fe8c,Green Chair with style of party beach. Quality and royal make you feel happy with it,Chair,3001627,3001627
46705,b8e4dfe08a43badabaed5cf8a752d243,the fabric upholstered chair has arm rest,Chair,3001627,3001627
110972,8becb5888c900f3a610c2a68437007d6,"it is a combination of brown and red color, square in shape with four carved legs, two arms, back support and floral print fabric, material used is wood for body frame and fabric for seating and overall appearance looks like maharaja chair.",Chair,3001627,2738535
94769,ffdc46ab1cfe759ce6fe3612af521500,Red bucket type chair with red sunk in foot rest.,Chair,3001627,3001627
90917,994dccd2cb784510a6fee8e2140acec9,A simple dirty white smooth office chair with unique base,Chair,3001627,4373704
49682,2ff12e3a324071c0525a3d382a240768,This type of chair could be used at a dining room table. It doesn't look like a typically chair because it doesn't look very comfortable to me because it has no arms and has a high back.,Chair,3001627,4331277
87593,71eca23b5fc484cc59fe89a0706f1a71,A simple black amd grey solid wooden chair is pretty nice,Chair,3001627,3001627
69686,c3cfd2188fe7ae365fe4ecea39e8bd40,A wooden chair with curved arms and green seat and back cushions.,Chair,3001627,2738535
46336,c47e364fbc29803b2c0eb4a518e123ac,it's a white leather reception chair with 4 wooden short  legs,Chair,3001627,2738535
41702,763bccb675b7439ab9afb6208cab1d,a large yellow beach chair made of wood with an area or a leg rest.,Chair,3001627,3001627
66811,a1d217ba806367cbc13a0d88b632af1d,"Stain Color, Square Shape, Metal and Steel Material.",Chair,3001627,3001627
82002,62d87dab8cb3fd16c050719ed29b64cf,Pink colour chair having 4 legs made with wood.,Chair,3001627,3001627
98126,1c6eb96eab5e75b67b79156a61ad4c01,A black colour chair made with cushion in sitting position and has four legs made with wood.,Chair,3001627,20000027
78458,6d5d42d1272467953b63c9ead28992f1,"black and red small chair, backrest with horizontal planks and four legs",Chair,3001627,4331277
53993,2d701c588b3bbbc458c88d30f502a452,this object is tall and made of iron with a blue cushion for seating. it is best described as something that would be placed next to a bar top.,Chair,3001627,20000022
93204,4f188d1f92b859fc283b00891f680579,a silver leather curl spinning wheel iron leg table,Chair,3001627,2738535
114378,b10dd8cb211b26ba98d5fc0473d00a1c,a white chair round shape and iron material,Chair,3001627,20000020
86452,7114ef00fe68d053cccbd142483bf2e7,Three different colored strip is mounted on circular seating posture made of metal.,Chair,3001627,3376595
62601,bfbc5e6ebe1813a5d9fad8aba2c312b7,"Outdoor chair, woven, reclining, brown color.",Chair,3001627,3001627
70709,8cedc8e684d60ff42a06d8c81262ef96,The brown chair with small sitting place.,Chair,3001627,3001627
88685,92373022868b812fe9aa238b4bc8322e,"Outdoor plastic lawn chair, white with arm rests.",Chair,3001627,20000027
98683,e64562ae2925d5f3f58087d377226538,"Armchair covered with patterned material, and four thin, wooden legs.",Chair,3001627,20000027
79926,862f70e73fa70c9b1a719e2a845bdada,"blue and white ,old model type, wooden material , home Relax type",Chair,3001627,3001627
63346,40020a5e90c75d94a93412f1b60e6fba,"Green designer chair, made of solo green material, and steel support legs, simplistic and stylish.",Chair,3001627,3001627
93268,ed108ed496777cf6490ad276cd2af3a4,"An old-fashioned, cushioned seat with a round, cushioned back. The legs are thin and pointy.",Chair,3001627,4331277
58777,925c06a5aea45ffbaf7c7ad2549a1b15,"this is a grey chair , which has  a opening at the back . It stands on 4 steel legs , which connect at the base of the chair at a single point .",Chair,3001627,4373704
116403,39c629e6f9e752964c6ea7add0063fc3,"short stubby chair made of light wood, with a thick brown cushion.",Chair,3001627,4331277
104221,cd5cc7a5e50478e82b520984c067934c,A silver grey chair with interconnected legs,Chair,3001627,3001627
59868,62127325480bec8d2c6c98851414a9d8,Dark brown all-wood dining chair for indoors or outdoors.,Chair,3001627,20000022
100459,d29c14f180ce319f71271c0017c27c86,"Tan and Brown Color, Square and Cylinder Shape, Steel and Cushion Material",Chair,3001627,2738535
108989,8e93fb99aaf17b9504ca5aa564aebd0,this is a simple looking chair with cloth rapped cushion seats in maroon.,Chair,3001627,3001627
58829,704179dd47a2282e676de9b6e111da8b,"a black colored plastic chair . It has symmetrically cut holes on the seat and the back-rest .It stands on two legs at the front , and the back rest runs till the base to provide support at the back .",Chair,3001627,3001627
116465,c0fa1417c0cf2f20593ebeeedbff73b,"it is a combination of black and cream color, rectangle in shape with box shaped legs where body frame is made with metal and seating with leather and overall appearance looks like relaxing chair.",Chair,3001627,3001627
62169,aa300965dead4fa33f09c790ddd20f8c,Black full upholstered chair with armrest and with four wooden legs.,Chair,3001627,2738535
51421,57c6cf844c09c5d8b40f0ac0fb9a650d,Grey plastic office chair with two handles and 5 grey plastic legs,Chair,3001627,4373704
72708,243ab0d808fae5b76f1d1c49624bcfed,"it is a wooden desk chair with four legs.  It is a brown, and the chair section is all one piece",Chair,3001627,4331277
56302,c59cdd1537bd75ddd0818327fc390a5,This is a yellow chair.,Chair,3001627,4331277
43241,808cd961edfc236c11794406b17d66b,"wooden out doors chair, with flat surface arm handles, two front lega and two wooden wedges for the two back legs.",Chair,3001627,20000022
112961,3895b96949fd81c5f07fee5fc5c45ee2,the chair is heavy. The chair is brown. the accessories of the chair are that there are three rollers on the high back. The seat is painted several colors.,Chair,3001627,3001627
96558,7ae007a84e6e616d5781796ac0b9d597,"grey colored, wooden chair. four solid legs with small square seat with long semicircular back.",Chair,3001627,3001627
85388,fe307b67739d9620d874a9fab241259d,Dark wooden chair with four legs. Chair has back on it.,Chair,3001627,4331277
103493,c2430d27be01948ab8e1b99345a5afd4,a silver chair with plastic seat and backrest and crossed legs,Chair,3001627,3649674
49692,59fa70f195fd4ac6ae8c9d3b8c4b9bc3,A modern silver and grey square chair with sharp lines and a metal support structure.,Chair,3001627,20000027
113641,c9288e09458ec0e9bbc45ba666751519,brown chair with three round poles in the back four legs and a beveled rectangle on the back,Chair,3001627,4331277
68883,1eeae84f10df85cd74984b9cd0997a52,four leg cushion chair and comfort back with handle,Chair,3001627,3001627
42098,2364d6cbee1425fdc3bd24f986301745,"We tested objects with similar colors (red, yellow, green, and blue) made of different materials, and objects made of the same material that differed only in color. We asked observers to adjust the color of a uniform disk presented on a computer screen until its color appearance represented a good match to the color appearance of the object. The observers' matches were compared to photometric measurements made at various points across the part of the surface of the objects that was visible to the observers.",Chair,3001627,20000027
106506,8fd6ca8f2d0ce46b846c0e4d54382ad6,A curved brown coloured haired with no side arms,Chair,3001627,3001627
70945,11525a18678f7ce6ae1e1181f20bb9c8,"its a chair shape,full of cushions cotton are used,wheels are present to use, its medium in size.",Chair,3001627,4373704
56242,3d3b7f63f5525b1ae37f5a622d383617,This chair is made from wood and fabric. It's brown and beige in color.,Chair,3001627,3001627
107955,4450887b9a8867e6d9b53420a5458c53,A simple yet unique brown wooden chair shaped like a quarter of an empty cylinder. It has a brown cushion and a leg supporting the chair shaped like 1/8 of an empty cylinder.,Chair,3001627,3001627
115481,67c866143e633daaa6fee8e2140acec9,a grey plastic chair with a medium back two arms and four legs,Chair,3001627,3001627
45747,57cc406d478167a6a6c03a53cf0a14c9,"A tan rocking chair with yellow and red checked back and seat, and two flat arms.",Chair,3001627,4099969
49132,f51ab8433184dfd2c8687ff9b0b4e4ac,This is a standard looking gray chair.  It has somewhat of a high back.,Chair,3001627,3001627
56645,4d6f35e7eebab44e2c8a86aeeb3b996e,"a modern looking chair, seat appears to be modeled and possibly plastic, white in color, legs are curved and dark brown in color",Chair,3001627,4331277
62680,73a7e497299da43885a2d2169cad3428,A basket weave dark brown chair with rounded edges,Chair,3001627,2738535
85954,4fa8eaacaaad472819fb4103277a6b93,a brown two leg hard wood arm two pillow seat chair,Chair,3001627,2738535
44767,c5afaadb73323de9645a86b04c64b372,A modern blue chair with a silver base.,Chair,3001627,20000020
80283,6d5d42d1272467953b63c9ead28992f1,This is a heavy styled black ladder black chair squared off. The chair has a red cushion on it and the legs are sturdy and squared off.,Chair,3001627,4331277
111794,ccd49951295cb4cbe139cf2f6f121cad,"Modern, Z shaped, wooden chair with no hand rest",Chair,3001627,20000026
44656,7e5dada1bee3e6dfca76c527f185435c,"Yellow folding chair, with cloth backrest and seat.",Chair,3001627,20000025
105463,855c6cc99578afda6a5ef4b501708f3,simple brown rectangle table with four thin legs,Table,4379243,4379243
93820,e75f2a369eca1346b157bfb9ccdf274b,"dave has two boxes using,steel meterials,two legs used on table",Table,4379243,4379243
93367,2edf007c0f4542554fa8d6439169bda4,"brown colour,plywoodsheets and wood are used,small size,",Table,4379243,3179701
86414,a223fb0172d705fc3234880d6f34f7eb,right angle wooden desk with two drawers on each side. it has a cut-away area to fit office chair.,Table,4379243,3179701
106040,e0b849b1545d35dab04cb542e2c50eb4,"brown colored, wooden round table. three pole legs with plain, circular top.",Table,4379243,20000039
91881,452a33df06b678c6822b5ad61b22977a,a glass top table with T shaped support below,Table,4379243,3063968
102100,39806e081bf3fe564ee8db28f96ad26b,a rectangular wooden stand with two metal legs and a metal bar extending from one leg to the other,Table,4379243,4379243
59031,4506f150e4f43633fab6e40cce6926d7,A tall stool with four crossed legs,Table,4379243,20000041
112278,c40a88d13709eba91f30b807ae39b61d,SINGLE LEG TABLE WITH ROUND BASE MADE OF STEEL LOOKS GOOD,Table,4379243,4379243
80695,c67b454761d7c84eb2a155afd9dbbb0a,small brown wooden table with one drower and four legs,Table,4379243,4379243
87376,54ec14c2afc2b7e37c5d07ba5fee5aad,A silver table that has legs that go from large at the top to small at the bottom.,Table,4379243,20000041
91866,6fd5741bbf559e0ff51f77a6d7299806,small table made of wood think so total brown in color square shape,Table,4379243,20000037
55401,ac440171fe3edf2a5284eac239212f2d,A three tiered coffee table with a glass insert on the top tier,Table,4379243,4379243
60272,388c9f343896272813126e7abd481c60,golden brown rectangular desk with gap for chair,Table,4379243,3179701
60595,78ccb410de7bfd821f8d8332ee17945a,A short wooden table with a seperation at the top.,Table,4379243,4379243
113190,5437d8fcd8dcb47a4733824eae5cd9ae,"A small, dark red seat cushion with a larger top and smaller base",Table,4379243,4379243
71583,79eb4b57cbd73e117e2e50070ddfd27c,a brown rectangular table with four legs and striped leg support,Table,4379243,4379243
80645,3344c70694e1bacdc5bd1ef3bc48a26,A steel grey colored rectangle center table with white colored top.,Table,4379243,4379243
114197,392315d4bc7f11f0ca67acef5667509c,A rectangular light wood table with six metal legs.,Table,4379243,4379243
70104,d45cb36eb4c38786b9a7614f2da8d7ae,lunar ball table with brown legs and green face.,Table,4379243,4379243
54513,cc5b638d81529dde3c2e50348f23d3d,Square table brown coloured made of wood,Table,4379243,4379243
47221,d22e15286d0d99ec52d2de7b04447df3,mirror rectangle  color table,Table,4379243,20000041
91930,bc1ff7fc750617d690f7bef12e52ac08,it is a table made up wood with brown colour it is rectangular shape,Table,4379243,4379243
83090,4a519fb8089dc7d248eaa510713cb074,"Its Green color, round shape, made in glass,
used for put as tea stand",Table,4379243,4379243
92449,5000e001c72cebf44f60f15da4c665d0,It is very classical table with a four curved legs.The top of table is like a drum shape with a small round disc attached at the bottom in between the legs.There is also a drawer facility.,Table,4379243,4379243
95107,22ea80a1c8798eb22d19175e7d19b7cb,black color in rectangle shape with steel material folding dinning table,Table,4379243,3092883
93617,fb3c684afcafce085a3075d93a0a3a93,two table pieces that are both composed of wooden tabletop supported by a metal frame acting as legs. One is rectangular and the other is square in shape,Table,4379243,4379243
106090,f2ba8040ab2d2745febad4f49b26ec52,A small wooden coloured table. It can be used in living rooms.,Table,4379243,4379243
115684,e4089e22c991e2dcfd277d65d018c82e,A brown color rectangular shape table with two leg,Table,4379243,3179701
42556,2d52675c865f669047bc3701b998a7d5,Long rectangular table with a wooden top and metal legs.  It is a simple design.,Table,4379243,3063968
57206,2f98d5e721e84debaa8081a7009091db,a short brown table with geometric figures on the table surface and 4 skinny silver legs.,Table,4379243,4379243
44359,c826802d2a084845979f073230404b25,A table with steps.,Table,4379243,4379243
62301,a42ad074c9b1bf2467dc358060e3c47b,brown table with cutout for chair and four drawers on right-hand side. two gray posts on left-hand side. red cutout on upper left for cords to snake through.,Table,4379243,3179701
70799,d20e0f359f37f7f5648b060eabbed82f,this is rectangular shaped table with greenish sort of color with thick base-legs just from the 4 edges.,Table,4379243,4379243
74412,c26dfd3453d81bf7788eb1f5e7ba6e7b,brown vertical wooden coffee center table,Table,4379243,4379243
95146,21d141b130a76e0e497b98603e1cd1f,"Rectangular table, with long wooden top, mahogany color, table legs have diagonal design.",Table,4379243,4379243
76918,2087680eed2edc0a20bf3b65a70accd3,A rectangular wooden table with a glass window in the center.,Table,4379243,4379243
95754,a1cb5947d7b09c2c7ca68e217a316e15,A new designer short table with stripes top and shelf at base,Table,4379243,4379243
100009,f9bac9ba3b878cf23a6e0d0a575f76a3,A dark brown colored rectangular table has four long legs and two draws with tiny widths.,Table,4379243,4379243
90952,39f0da2d45ad3b6deb82e56bb4ec31e1,a old fashined short wooden table in brown color having 2 desks,Table,4379243,20000037
57425,87dda49474723fa816a2b5862518c93,tall dark brown table with one leg and one platform,Table,4379243,3092883
44269,5c63f336ce5ea7d621d1a69a8eeb6a01,A brown rectangular wooden coffee with four legs and connected legs,Table,4379243,4379243
109749,5d45378d9d2e11ff497df23b9b74f339,"it is an air hockey table, made of wood with light stain",Table,4379243,4379243
77167,7b22287c9a2ad418b9deee229eae6efa,A brown color wooden table in oval shape with centre part pushed down which makes two leafs like structure.,Table,4379243,4379243
53001,4791914b3bcaf57efebad4f49b26ec52,A table with brown legs and rim around the top.  It has a tan top middle.,Table,4379243,4379243
80227,905628a74c7cec233a574a2e3bc99a1,"Table with metal legs and wooden top, contemporary style.",Table,4379243,4379243
107900,a4cd409ceb0aa148d93cf5f5bfd78ab4,A grey rectangular solid based glass table with C shaped legs,Table,4379243,4379243
68942,689cf8174210c2701933ffef19678834,"Small open cabinet, that could serve as a night stand. It has a small table top, and a open storage space divided in one smaller, upper space and larger, lower space.",Table,4379243,4379243
103929,b6457c273fca48f8b5b7c35a8e7396f2,A dark brown table. It looks like it is made of wood.,Table,4379243,4379243
50239,119a538325398df617b2b37d6988a89b,THIS ONE TYPE OF TABLE,Table,4379243,4379243
80628,d7f9651b64c82c799e7c6a73ef46f40c,A unique looking table with a wooden abstract base and a glass table top. You can see the cut outs in the bottom of the table base through the glass top of the table.,Table,4379243,4379243
104846,25775a3ee25c6503dddd8ce1cda8c6d9,A simple dining table.The top is rectangle shape and grey in colour.There are four cylinderical shape black legs.,Table,4379243,4379243
67592,9d5ffd7cc6f9084abd790f9b668aa24f,This table has curved iron legs and curved iron supports outside all fur sides of the table. The table has an etched glass top and has a fancy dagger inside the box that makes up the table.,Table,4379243,4379243
79731,2a796094f95904e9c6193dcce7cff00c,A heavy brown color wooden table without drawers.,Table,4379243,3179701
80410,677f0b4f9c5398caa3e1d5a29d2bb5b9,A short glass coffee table that has a greenish tint.,Table,4379243,4379243
55718,1c57228e08cdd81ea375e397f0227097,It is a wooden table with round top. It has one thick leg,Table,4379243,3904060
75009,873d8928f314d95045613f5c2df1029a,"A black, rectangular table has a wide top and smaller bottom with four posts.",Table,4379243,20000040
114050,3c514c4f53e3f1ed4b3c42e318f3affc,a beige table with a rectangle shape top with x shaped grey legs,Table,4379243,3179701
99521,cd0581de9bae7c6c7d1aee311ce12c70,A rectangular brownish gray color wooden table with designed legs,Table,4379243,4379243
90075,d064b468c3cf683cedf48f9fa39262b,A black colored wooden rectangular table which has a single large drawer on one side and has four legs.,Table,4379243,3179701
85283,ad7ae42e620d2ce7e074517a246f1e65,a brown wood table with some black coloring and slanting legs.,Table,4379243,3063968
107455,77f54df25e2d1bf99a1735fdc80135be,square wooden side table with tiles on top of wood frame,Table,4379243,4379243
81630,5919dea71f3bcb071d54ab02e78bef2,it is table for living room.table has 4 leg.made up from woodn and glass.,Table,4379243,4379243
54939,9004a7d87a62e40111310cfb881ab9a6,Rectangular wooden table to play pool,Table,4379243,3982430
52074,7d0eea8581ece273820018801b237b3d,The table is rectangular shaped and looks more modern. It is of medium height and has the capability to fold.,Table,4379243,4603729
100106,c9ad9501c31fae5c71a782a4379556c7,"a round table with a single pole stand, white color top, black stand and grey base.",Table,4379243,20000038
87029,5eba36c416524db2f42a90fe4baf4591,A square wooden table with 4 legs. It has a painted design on the top of a grey circle and colorful designs.,Table,4379243,4379243
45000,ddc16ae1263d506c955e5ed03ef3a2f,Plain metal tabletop with 4 metal legs all square.,Table,4379243,4603729
115258,177f4749d22ccddbf4ae8c93f4db5e6,A square shaped table with three separate compartments and dark brown coloured appearance.,Table,4379243,4379243
81127,b0c37b379725feec97ed2c3bf3711e68,Round gray/green table that is smaller and looks to be plastic.,Table,4379243,4379243
75063,516c46ceaf6619d07ff6ace05b36a5,"grey rectangular soap dish. sits on four small ball feet and has the word ""soap"" printed on the lid.",Table,4379243,3063968
73236,251160ca48f91de7ad5067eac75a07f7,a round shape steel chair is cement color,Table,4379243,3904060
101894,6e9e8100ffa2a7fb3b1bee6df796f998,Wooden coffee table appears to be grey with 4 legs.,Table,4379243,20000037
62095,dd468c350fc655eafebad4f49b26ec52,A bowl-like brown colour table has round transparent glass on the top with three legs,Table,4379243,4379243
78024,a882ada8bc14e42080d6227ff9b21190,odd shaped object made of wood and metal that is about waist high.,Table,4379243,3179701
111492,2fae93478f8bb6c423a62335a5f0e6d2,oval shaped wooden table with multi color checks on the surface little thick legs tiny size.,Table,4379243,3179701
64785,b6758a9b899d540919fb4103277a6b93,"table with less height , made of wood , spherical shape",Table,4379243,20000040
26392,ed0b1bd723063c8ee1be359afa82825,A light colored table with 4 legs. Plain wood and with a rectangular top.,Table,4379243,20000041
87086,2444551d00693a0fab610b0c94236463,An off-white table with two grey boxes for legs. One of the edges of the top is a half circle while the other is straight.,Table,4379243,3179701
54605,39f202c92b0afd0429d8eecf3827c486,a wooden table with two equally sized glass squares on top that have a 10 inch space in between.,Table,4379243,20000037
62463,372d52845e1c620fef3b6dbf349349be,"Living room table, wooden, brown, with five drawers.",Table,4379243,3179701
91500,5fdde770581fa1fcbae326b60581fb7d,It is a large glass and wood coffee table. The top is glass and the legs are medium colored wood,Table,4379243,20000037
108149,f9ac7801460434b271140e10b6211a6a,Different type of table L shaped. Top is made up of wood material and bottom by steel material.,Table,4379243,3179701
90913,e2f632abcd84c03ae7354dcb6082ee59,above square shaped grey colour with broad two legged heart shaped drawer like below empty space to keep thing,Table,4379243,4379243
108523,1a35db5eb4f931a3eba0693b2c2a423b,a brown short table for keeping books and open storage facilities,Table,4379243,3179701
108268,e01e72e173dd2cec8c76ec1f86d432b3,An unusual looking table. It has flat surfaced two legs. There is place to put legs.,Table,4379243,4603729
97074,bee1f4fa0730c6c5735aedaf68f44c57,"Style table of tornodo, materials from wood, plastic, that will make you happy",Table,4379243,4379243
84532,98bba4f6837ece036c18e23645ff9868,A black wooden desk with a small shelf underneath on the right side.,Table,4379243,4379243
109070,ed73c41dcfe9170119cc3eaf35cd388f,A eaves rectangular table with a white top,Table,4379243,3179701
114361,eeaa44341a57c0cfb9531c981c83e1,A rectangular shaped wide brown colored table with draw itself.,Table,4379243,3179701
61792,f325003cb7f94a7bf4b35f4029eb1ecf,A low heighted rectangular table having grey color,Table,4379243,4379243
113792,96fa9d34fcb17ff21fc43d5b32fa230f,A round coffee table made from wood with a pedestal base. It is grey in color.,Table,4379243,4379243
53720,87ff92c179ed5ed292f4c88fd91c6b1b,"a round center table, glass round top, placed two triangle rods as legs placed on one another as support to glass",Table,4379243,3063968
61738,186f6c911a4255bc1b17743c18fb63dc,The table has 4 four legs od silver colour and glass frame at top,Table,4379243,20000040
106569,e67447e5ab4b63246d871377f0c1e8cb,A BLUE COLORED GLASS TABLE THAT HAS RECTANGULAR SHAPED TOP AND HAS STEEL STAND.,Table,4379243,4379243
80343,30f06495dec55016bde93a1daa41f517,This is small desk resembling an old fashion school desk with grey metal base and blue top.,Table,4379243,4379243
62719,bd3dddce162f59ead92dd8f41946f1b2,"Air hockey table with black rim and legs, white surface with blue and red painted markings on top and small green score panel at side.",Table,4379243,4379243
80345,7311255cee3e412771a782a4379556c7,"A ice cream table with round top, single legged at the centre. White in color",Table,4379243,20000038
118113,5a61158cfba0bb6a80360680c1602c7d,single leg round base table with grey color foot rest and red color base made of wood,Table,4379243,4379243
69646,504d908a55f3e0c764810cc21086da42,"Rectangular table, dark gray in color, and possibly made out of metal.",Table,4379243,4379243
